ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1001786;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;0;0;среднее-специальное;менеджер среднего звена;>250;0;79;37;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001806;Поступление зарплаты на счет;Отпуск;1;0.18;мужской;0;0;высшее;специалист;>250;0;44;28;Информационные технологии;ООО;холост / не замужем;0;0;0;0;0;0.0317460317;0;0;0;0;0.3333333333;1;2;61;3;0;2;21;40;1;0;0;0;0;0;0
1001826;Форма банка (без печати работодателя);Отпуск;1;0.13;женский;1;0;второе высшее;менеджер высшего звена;>250;0;94;41;Другое;ЗАО;женат / замужем;0;0;0;0;0;0.0361445783;1;0;0;0;0.5;1;1;80;2;0;1;50;60;1;0;0;0;0;0;0
1001846;2НДФЛ;Покупка автомобиля;1;0.5;женский;0;0;высшее;менеджер среднего звена;>250;1;91;46;Торговля;ООО;разведен / разведена;1;0;0;0;0;0.004950495;0;1;0;0;0.2;3;12;201;15;1;0;4;83;1;0;0;0;0;0;0
1001866;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.53;мужской;1;0;среднее-специальное;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001886;Форма банка (без печати работодателя);Покупка мебели;0;0.18;женский;1;0;среднее-специальное;специалист;>250;0;11;33;Торговля;Государственное предприятие;женат / замужем;0;0;0;0;0;0.0256410256;0;0;0;0;0.3333333333;1;2;38;3;1;2;10;26;1;0;0;0;0;0;0
1001906;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.32;мужской;1;0;высшее;специалист;>250;0;138;42;Другое;ОАО;женат / замужем;2;2;2;2;0;0.025974026;1;1;1;1;0.25;2;6;225;8;0;3;0;96;1;0;0;0;0;0;0
1001926;Форма банка (без печати работодателя);Ремонт;1;0.36;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;29;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001946;2НДФЛ;Покупка недвижимости/ строительство;0;0.59;мужской;1;0;высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001966;Форма банка (без печати работодателя);Ремонт;0;0.11;мужской;3;0;второе высшее;менеджер высшего звена;< 50;0;173;44;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001986;Поступление зарплаты на счет;Ремонт;1;0.27;мужской;0;0;среднее-специальное;рабочий;>250;1;38;25;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002006;Свободная форма с печатью работодателя;Ремонт;0;0.54;женский;4;0;высшее;менеджер среднего звена;< 50;0;26;36;Торговля;ЗАО;женат / замужем;0;0;0;0;0;0.1698113208;1;0;0;0;0.25;1;3;88;4;1;2;19;92;1;0;0;0;0;0;0
1002026;Поступление зарплаты на счет;Покупка автомобиля;1;0.51;мужской;0;0;среднее-специальное;специалист;>250;0;56;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002046;Поступление зарплаты на счет;Покупка автомобиля;0;0.29;женский;1;0;высшее;специалист;>250;1;17;28;Информационные технологии;ООО;женат / замужем;1;1;1;0;0;0;1;0;0;0;0.5;2;2;39;4;1;2;6;26;0;0;0;0;0;0;0
1002066;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.52;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;9;29;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.2;1;4;112;5;0;0;9;96;0;0;0;0;0;0;0
1002086;Форма банка (без печати работодателя);Покупка мебели;1;0.45;мужской;0;0;среднее-специальное;менеджер среднего звена;< 50;0;28;41;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002106;Поступление зарплаты на счет;Покупка мебели;1;0.44;мужской;2;0;высшее;специалист;>250;0;43;33;Другое;ООО;женат / замужем;0;0;0;0;0;0.0769230769;1;0;0;0;1;2;0;24;2;1;0;12;26;1;0;0;0;0;0;0
